SEMANA;ORDEM;URL COMPLETA;SLUG;TÍTULO;MOTIVO DA PRIORIDADE;STATUS
Semana 1;1;https://zencial.info/queda-de-cabelo/;/queda-de-cabelo/;Zencial para Queda de Cabelo: Funciona? [Análise Completa 2025];Cabeça do SILO - concentra autoridade e distribui para todos os filhos. Publicar primeiro.;A FAZER
Semana 2;2;https://zencial.info/funciona/;/funciona/;Zencial Funciona? Veja os Resultados Reais de Quem Já Usou;Alta intenção de compra - captura usuário na fase de decisão;A FAZER
Semana 2;3;https://zencial.info/ingredientes/;/ingredientes/;Ingredientes do Zencial: O que Tem na Fórmula e Para que Serve;Constrói E-E-A-T (autoridade de expertise) - base para outros artigos;A FAZER
Semana 3;4;https://zencial.info/oleo-de-alecrim-queda-de-cabelo/;/oleo-de-alecrim-queda-de-cabelo/;Óleo de Alecrim para Queda de Cabelo: Funciona? A Ciência Explica;Captura tráfego genérico e linka de volta para Zencial como solução;A FAZER
Semana 3;5;https://zencial.info/oleo-de-alecrim-vs-minoxidil/;/oleo-de-alecrim-vs-minoxidil/;Óleo de Alecrim vs Minoxidil: Qual é Melhor para Queda de Cabelo?;Keyword com volume médio e intenção comparativa - alta conversão;A FAZER
Semana 4;6;https://zencial.info/antes-e-depois/;/antes-e-depois/;Zencial Antes e Depois: Fotos e Resultados Reais por Semana;Prova social - reduz objeções de compra;A FAZER
Semana 4;7;https://zencial.info/como-usar/;/como-usar/;Como Usar o Zencial: Guia Passo a Passo para Resultados Reais;Responde dúvida pós-compra e pré-compra - bom para engajamento;A FAZER
Semana 5;8;https://zencial.info/vs-minoxidil/;/vs-minoxidil/;Zencial vs Minoxidil: Qual Funciona Melhor para Queda de Cabelo?;Comparativo de alta intenção - usuário pronto para decidir;A FAZER
Semana 5;9;https://zencial.info/onde-comprar/;/onde-comprar/;Onde Comprar Zencial: Loja Oficial Preço e Cuidado com Falsos;Captura tráfego transacional final;A FAZER
Semana 6;10;https://zencial.info/envy-hair/;/envy-hair/;Zencial Envy Hair: Sérum Capilar para Queda e Crescimento;Review do produto específico;A FAZER
Semana 6;11;https://zencial.info/preco/;/preco/;Zencial Preço 2025: Vale a Pena? Análise dos Kits e Descontos;Complementa a página de onde comprar;A FAZER
Semana 7;12;https://zencial.info/causas-queda-de-cabelo-feminina/;/causas-queda-de-cabelo-feminina/;Queda de Cabelo Feminina: 9 Causas Principais e Como Tratar em 2025;Tráfego topo de funil - longo prazo;A FAZER
Semana 7;13;https://zencial.info/melhor-serum-capilar/;/melhor-serum-capilar/;Melhor Sérum para Queda de Cabelo em 2025: Top 5 Testados e Avaliados;Captura tráfego genérico de alta intenção;A FAZER
Semana 8;14;https://zencial.info/depoimentos/;/depoimentos/;Depoimentos Zencial: Opiniões Reais Organizadas por Perfil de Queda;Complementa prova social já estabelecida;A FAZER
